8	YOR	KENNEBUNK	3774	2203	296	6273	
8		STATE UOCAVA	29	6	1	36	
			3803	2209	297	6309	
							
			Denk, Diane M. 	Seavey, H. Stedman 	BLANK	TOTAL VOTES CAST	
			Kennebunk	Kennebunkport			
			Democrat	Republican			
9	YOR	BIDDEFORD	948	719	93	1760	
9	YOR	KENNEBUNK	623	700	54	1377	
9	YOR	KENNEBUNKPORT	1101	1344	57	2502	
9		STATE UOCAVA	43	6	4	53	
			2715	2769	208	5692	
							
			Ingwersen, Emily E. 	Parry, Wayne R. 	BLANK	TOTAL VOTES CAST	
			Arundel	Arundel			
			Democrat	Republican			
10	YOR	ARUNDEL	899	1516	121	2536	
10	YOR	DAYTON	355	842	73	1270	
10	YOR	LYMAN	650	1074	119	1843	
10		STATE UOCAVA	9	4	0	13	
			1913	3436	313	5662	
							
			Fecteau, Ryan Michael 	Morin, Renee P. 	BLANK	TOTAL VOTES CAST	
			Biddeford	Biddeford			
			Democrat	Republican			
11	YOR	BIDDEFORD	3185	1507	198	4890	
11		STATE UOCAVA	9	5	4	18	
			3194	1512	202	4908	
							
			Grohman, Martin J. 	Lauzon, Matthew D. 	BLANK	TOTAL VOTES CAST	
			Biddeford	Biddeford			
			Democrat	Independent			
12	YOR	BIDDEFORD	1847	1614	202	3663	
12		STATE UOCAVA	4	10	1	15	
			1851	1624	203	3678	
							
			Coleman, Michael E. 	Hogan, George W. 	BLANK	TOTAL VOTES CAST	
			Old Orchard Beach	Old Orchard Beach			
			Republican	Democrat			
13	YOR	OLD ORCHARD BEACH	2054	3267	278	5599	
13		STATE UOCAVA	7	10	3	20	
			2061	3277	281	5619	
							
			Bailey, Donna 	Christenbury, Jeffrey A. 	Johnston, Jacob C. 	BLANK	TOTAL VOTES CAST
			Saco	Saco	Saco		
			Democrat	Republican	Independent		
14	YOR	SACO	2606	1582	991	261	5440
14		STATE UOCAVA	8	6	4	4	22
			2614	1588	995	265	5462
							
			Bedell, Mark Alan 	O'Neil, Margaret M. 	BLANK	TOTAL VOTES CAST	
			Saco	Saco			
			Republican	Democrat			
15	YOR	SACO	1709	3331	334	5374	
15		STATE UOCAVA	4	11	0	15	
			1713	3342	334	5389	
							
			Marean, Donald G. 	Payne, River L. 	BLANK	TOTAL VOTES CAST	
			Hollis	Hollis			
			Republican	Democrat			
16	YOR	BUXTON	1732	1029	139	2900	
16	YOR	HOLLIS	1647	902	91	2640	
16	YOR	SACO	100	78	19	197	
16		STATE UOCAVA	10	3	0	13	
			3489	2012	249	5750	
							
			Gibson, Gerry R. 	Prescott, Dwayne Willis 	BLANK	TOTAL VOTES CAST	
			Waterboro	Waterboro			
			Democrat	Republican			
17	YOR	LYMAN	289	428	57	774	
17	YOR	WATERBORO	1465	2329	206	4000	
17		STATE UOCAVA	3	9	1	13	
			1757	2766	264	4787	
							
			Frohloff, Gordon E. 	Mastraccio, Anne-Marie 	BLANK	TOTAL VOTES CAST	
			Sanford	Sanford			
			Republican	Democrat			
18	YOR	SANFORD	1383	2326	262	3971	
18		STATE UOCAVA	3	5	1	9	
			1386	2331	263	3980	
							
			Harrington, Matthew A. 	Tero, Nalbert Tarbox 	BLANK	TOTAL VOTES CAST	
			Sanford	Sanford			
			Republican	Democrat			
19	YOR	SANFORD	2284	2168	217	4669	
19		STATE UOCAVA	4	11	3	18	
			2288	2179	220	4687	
							
			Gerrish, Karen A. 	Lauzon, Daniel J. 	BLANK	TOTAL VOTES CAST	
			Lebanon	Lebanon			
			Republican	Democrat			
20	YOR	ACTON	903	513	81	1497	
20	YOR	LEBANON	2181	897	120	3198	
20	YOR	SHAPLEIGH	278	151	33	462	
20		STATE UOCAVA	3	4	2	9	
			3365	1565	236	5166	
							
			Carroll, Aaron R. 	Sampson, Heidi H. 	BLANK	TOTAL VOTES CAST	
			Limerick	Alfred			
			Democrat	Republican			
21	YOR	ALFRED	611	1177	85	1873	
21	YOR	LIMERICK	408	416	30	854	
21	YOR	NEWFIELD	317	517	38	872	
21	YOR	PARSONSFIELD	284	370	40	694	
21	YOR	SHAPLEIGH	410	657	39	1106	
21		STATE UOCAVA	12	7	0	19	
			2042	3144	232	5418	
							
			Fitzgerald, Richard J. 	Kinney, Jonathan L. 	BLANK	TOTAL VOTES CAST	
			Buxton	Limington			
			Democrat	Republican			
22	CUM	STANDISH	173	219	18	410	
22	YOR	BUXTON	968	940	90	1998	
22	YOR	LIMERICK	341	448	29	818	
22	YOR	LIMINGTON	703	1325	66	2094	
22		STATE UOCAVA	7	6	0	13	
			2192	2938	203	5333	
							
			Ordway, Lester S. 	Smith, Pamela J. 	BLANK	TOTAL VOTES CAST	
			Standish	Standish			
			Republican	Democrat			
23	CUM	STANDISH	3163	1790	192	5145	
23		STATE UOCAVA	6	15	0	21	
			3169	1805	192	5166	
							
			Bryant, Mark E. 	Martin, Benjamin 	BLANK	TOTAL VOTES CAST	
			Windham	Windham			
			Democrat	Republican			
24	CUM	WINDHAM	2765	2345	188	5298	
24		STATE UOCAVA	10	2	0	12	
			2775	2347	188	5310	
							
			Corey, Patrick W. 	BLANK	TOTAL VOTES CAST		
			Windham				
			Republican				
25	CUM	WINDHAM	3988	854	4842		
25		STATE UOCAVA	12	5	17		
			4000	859	4859		
							
			Mattingly, Matthew L. 	Terry, Maureen Fitzgerald 	BLANK	TOTAL VOTES CAST	
			Gorham	Gorham			
			Republican	Democrat			
26	CUM	GORHAM	2257	2297	278	4832	
26		STATE UOCAVA	7	9	1	17	
			2264	2306	279	4849	
							
			McLean, Andrew J. 	Means, James D. 	BLANK	TOTAL VOTES CAST	
			Gorham	Gorham			
			Democrat	Republican			
27	CUM	GORHAM	2788	2178	149	5115	
27	CUM	SCARBOROUGH	363	356	35	754	
27		STATE UOCAVA	13	4	0	17	
			3164	2538	184	5886	
							
			Caiazzo, Christopher J. 	Sirocki, Heather W. 	BLANK	TOTAL VOTES CAST	
			Scarborough	Scarborough			
			Democrat	Republican			
28	CUM	SCARBOROUGH	2732	3034	235	6001	
28		STATE UOCAVA	15	12	4	31	
			2747	3046	239	6032	
							
			Kalikow, Theodora J. 	Vachon, Karen R. 	BLANK	TOTAL VOTES CAST	
			Scarborough	Scarborough			
			Democrat	Republican			
29	CUM	SCARBOROUGH	2811	3181	247	6239	
29		STATE UOCAVA	36	12	3	51	
			2847	3193	250	6290	
							
			Monaghan, Kimberly J. 	Van Syckel, George W. 	BLANK	TOTAL VOTES CAST	
			Cape Elizabeth	Cape Elizabeth			
			Democrat	Republican			
30	CUM	CAPE ELIZABETH	4096	1955	209	6260	
30		STATE UOCAVA	48	5	8	61	
			4144	1960	217	6321	
							
			Reckitt, Lois Galgay 	BLANK	TOTAL VOTES CAST		
			South Portland				
			Democrat				
31	CUM	SOUTH PORTLAND	4631	1130	5761		
31		STATE UOCAVA	39	5	44		
			4670	1135	5805		
							
			Hamann, Scott 	BLANK	TOTAL VOTES CAST		
			South Portland				
			Democrat				
32	CUM	CAPE ELIZABETH	260	78	338		
32	CUM	SOUTH PORTLAND	3906	1186	5092		
32		STATE UOCAVA	18	6	24		
			4184	1270	5454		
							
			Battle, Kevin J. 	Fox, Brad 	BLANK	TOTAL VOTES CAST	
			South Portland	South Portland			
			Republican	Democrat			
33	CUM	SOUTH PORTLAND	2158	1896	198	4252	
33		STATE UOCAVA	3	9	1	13	
			2161	1905	199	4265	
							
			Gattine, Andrew 	BLANK	TOTAL VOTES CAST		
			Westbrook				
			Democrat				
34	CUM	WESTBROOK	3901	1005	4906		
34		STATE UOCAVA	15	3	18		
			3916	1008	4924		
							
			Bates, Dillon F. 	Bourque, James R. 	BLANK	TOTAL VOTES CAST	
			Westbrook	Westbrook			
			Democrat	Republican			
35	CUM	WESTBROOK	2846	1962	306	5114	
35		STATE UOCAVA	13	6	1	20	
			2859	1968	307	5134	
							
			Harlow, Denise P. 	BLANK	TOTAL VOTES CAST		
			Portland				
			Democrat				
36	CUM	PORTLAND	3234	912	4146		
36		STATE UOCAVA	17	3	20		
			3251	915	4166		
							
			Farnsworth, Richard Ransom 	BLANK	TOTAL VOTES CAST		
			Portland				
			Democrat				
37	CUM	PORTLAND	3805	921	4726		
37		STATE UOCAVA	25	1	26		
			3830	922	4752		
							
			Loring, Thomas J. 	Moonen, Matthew W. 	BLANK	TOTAL VOTES CAST	
			Portland	Portland			
			Republican	Democrat			
38	CUM	PORTLAND	764	4269	464	5497	
38		STATE UOCAVA	9	41	4	54	
			773	4310	468	5551	
							
			Doyle, Peter Ignatius 	Sylvester, Michael A. 	BLANK	TOTAL VOTES CAST	
			Portland	Portland			
			Republican	Democrat			
39	CUM	PORTLAND	941	4314	387	5642	
39		STATE UOCAVA	3	73	8	84	
			944	4387	395	5726	
							
			Ross, Rachel Talbot 	BLANK	TOTAL VOTES CAST		
			Portland				
			Democrat				
40	CUM	PORTLAND	3135	955	4090		
40		STATE UOCAVA	21	7	28		
			3156	962	4118		
							
			Azzola, James H. 	Jorgensen, Erik Clark 	BLANK	TOTAL VOTES CAST	
			Portland	Portland			
			Republican	Democrat			
41	CUM	PORTLAND	908	4021	290	5219	
41		STATE UOCAVA	1	32	1	34	
			909	4053	291	5253	
							
			Abercrombie, Susan M. 	Collings, Benjamin T. 	BLANK	TOTAL VOTES CAST	
			Portland	Portland			
			Republican	Democrat			
42	CUM	PORTLAND	1309	3405	445	5159	
42		STATE UOCAVA	2	19	2	23	
			1311	3424	447	5182	
							
			Langholtz, Jeffrey W. 	Sanborn, Heather B. 	BLANK	TOTAL VOTES CAST	
			Portland	Portland			
			Republican	Democrat			
43	CUM	FALMOUTH	692	986	101	1779	
43	CUM	PORTLAND	1256	2617	225	4098	
43		STATE UOCAVA	9	29	2	40	
			1957	3632	328	5917	
							
			Diamond, Kimberly A. 	Pierce, Teresa S. 	BLANK	TOTAL VOTES CAST	
			Falmouth	Falmouth			
			Republican	Democrat			
44	CUM	FALMOUTH	2639	3551	210	6400	
44		STATE UOCAVA	8	35	0	43	
			2647	3586	210	6443	
							
			Denno, Dale J. 	Timmons, Michael J. 	BLANK	TOTAL VOTES CAST	
			Cumberland	Cumberland			
			Democrat	Republican			
45	CUM	CUMBERLAND	3043	2293	169	5505	
45	CUM	GRAY	342	345	25	712	
45		STATE UOCAVA	30	6	5	41	
			3415	2644	199	6258	
							
			Chace, Paul B. 	Hall, Sarah K. 	BLANK	TOTAL VOTES CAST	
			Durham	Durham			
			Republican	Democrat			
46	AND	DURHAM	1449	1075	87	2611	
46	CUM	NORTH YARMOUTH	1250	1314	92	2656	
46	CUM	POWNAL	343	351	19	713	
46		STATE UOCAVA	10	31	0	41	
			3052	2771	198	6021	
							
			Cooper, Janice E. 	Snow, Richard Vinton 	BLANK	TOTAL VOTES CAST	
			Yarmouth	Yarmouth			
			Democrat	Republican			
47	CUM	CHEBEAGUE ISLAND	210	107	12	329	
47	CUM	LONG ISLAND	111	56	9	176	
47	CUM	YARMOUTH	3406	2151	168	5725	
47		STATE UOCAVA	61	5	1	67	
			3788	2319	190	6297	
							
			Gideon, Sara 	Schulz, Paul Benjamin 	BLANK	TOTAL VOTES CAST	
			Freeport	Pownal			
			Democrat	Republican			
48	CUM	FREEPORT	3747	1672	196	5615	
48	CUM	POWNAL	199	165	11	375	
48		STATE UOCAVA	48	4	2	54	
			3994	1841	209	6044	
							
			Daughtry, Matthea Elisabeth 	Stevens, Michael R. 	BLANK	TOTAL VOTES CAST	
			Brunswick	Brunswick			
			Democrat	Republican			
49	CUM	BRUNSWICK	3955	2038	291	6284	
49		STATE UOCAVA	26	8	5	39	
			3981	2046	296	6323	
							
			Tucker, Ralph L. 	BLANK	TOTAL VOTES CAST		
			Brunswick				
			Democrat				
50	CUM	BRUNSWICK	4476	1038	5514		
50		STATE UOCAVA	54	19	73		
			4530	1057	5587		
							
			McCreight, Joyce 	BLANK	TOTAL VOTES CAST		
			Harpswell				
			Democrat				
51	CUM	BRUNSWICK	846	248	1094		
51	CUM	HARPSWELL	2755	728	3483		
51	SAG	WEST BATH	1000	257	1257		
51		STATE UOCAVA	35	7	42		
			4636	1240	5876		
							
			DeChant, Jennifer L. 	Weidner, Bil 	BLANK	TOTAL VOTES CAST	
			Bath	Bath			
			Democrat	Republican			
52	SAG	BATH	2983	1659	181	4823	
52		STATE UOCAVA	38	7	3	48	
			3021	1666	184	4871	
							
			Neilson, William L. 	Pierce, Jeffrey K. 	BLANK	TOTAL VOTES CAST	
			Arrowsic	Dresden			
			Democrat	Republican			
53	LIN	DRESDEN	342	713	34	1089	
53	SAG	ARROWSIC	246	96	9	351	
53	SAG	GEORGETOWN	415	334	20	769	
53	SAG	PHIPPSBURG	521	892	27	1440	
53	SAG	RICHMOND	18	59	1	78	
53	SAG	WOOLWICH	761	1211	51	2023	
53		STATE UOCAVA	27	4	2	33	
			2330	3309	144	5783	
							
			Lyons, Ruth A. 	Tepler, Denise A. 	BLANK	TOTAL VOTES CAST	
			Topsham	Topsham			
			Republican	Democrat			
54	SAG	TOPSHAM	2836	3102	167	6105	
54		STATE UOCAVA	13	19	2	34	
			2849	3121	169	6139	
							
			Berry, Seth A. 	Hobart, Brian D. 	BLANK	TOTAL VOTES CAST	
			Bowdoinham	Bowdoinham			
			Democrat	Republican			
55	SAG	BOWDOIN	829	890	45	1764	
55	SAG	BOWDOINHAM	1054	796	35	1885	
55	SAG	RICHMOND	1024	803	34	1861	
55		STATE UOCAVA	19	7	0	26	
			2926	2496	114	5536	
							
			Gaiason, Scott N. 	Mason, Gina M. 	BLANK	TOTAL VOTES CAST	
			Lisbon	Lisbon			
			Democrat	Republican			
56	AND	LISBON	1978	2731	237	4946	
56		STATE UOCAVA	5	9	0	14	
			1983	2740	237	4960	
							
			Gayton, Nicholas John 	Wood, Stephen James 	BLANK	TOTAL VOTES CAST	
			Sabattus	Greene			
			Democrat	Republican			
57	AND	GREENE	574	1934	89	2597	
57	AND	SABATTUS	1147	1583	120	2850	
57		STATE UOCAVA	5	5	0	10	
			1726	3522	209	5457	
							
			Handy, James R. 	Roy, Matthew Paul 	BLANK	TOTAL VOTES CAST	
			Lewiston	Lewiston			
			Democrat	Republican			
58	AND	LEWISTON	2446	2336	259	5041	
58		STATE UOCAVA	8	12	0	20	
			2454	2348	259	5061	
							
			Chicoine, Elliot R. 	Fuller, Roger Jason 	BLANK	TOTAL VOTES CAST	
			Lewiston	Lewiston			
			Republican	Democrat			
59	AND	LEWISTON	2065	2848	297	5210	
59		STATE UOCAVA	7	20	1	28	
			2072	2868	298	5238	
							
			Golden, Jared F. 	Padham, Jeffery M. 	BLANK	TOTAL VOTES CAST	
			Lewiston	Lewiston			
			Democrat	Republican			
60	AND	LEWISTON	2399	960	275	3634	
60		STATE UOCAVA	21	2	0	23	
			2420	962	275	3657	
							
			Brooks, Heidi Eileen 	Miller, Stephen Francis 	BLANK	TOTAL VOTES CAST	
			Lewiston	Lewiston			
			Democrat	Republican			
61	AND	LEWISTON	1967	1200	205	3372	
61		STATE UOCAVA	5	5	1	11	
			1972	1205	206	3383	
							
			Dickey, Brandon Eli 	Melaragno, Gina 	BLANK	TOTAL VOTES CAST	
			Auburn	Auburn			
			Republican	Democrat			
62	AND	AUBURN	1206	1893	188	3287	
62		STATE UOCAVA	2	10	0	12	
			1208	1903	188	3299	
							
			Bickford, Bruce A. 	LeClair, Nathan Paul 	BLANK	TOTAL VOTES CAST	
			Auburn	Auburn			
			Republican	Democrat			
63	AND	AUBURN	3031	1849	201	5081	
63		STATE UOCAVA	7	12	1	20	
			3038	1861	202	5101	
							
			Sheats, Bettyann W. 	Travers, Michael C. 	BLANK	TOTAL VOTES CAST	
			Auburn	Minot			
			Democrat	Republican			
64	AND	AUBURN	2045	1442	131	3618	
64	AND	MINOT	613	1011	59	1683	
64		STATE UOCAVA	15	3	2	20	
			2673	2456	192	5321	
							
			Breton, Elijah Ty 	Espling, Eleanor M. 	BLANK	TOTAL VOTES CAST	
			Poland	New Gloucester			
			Democrat	Republican			
65	AND	POLAND	971	804	68	1843	
65	CUM	NEW GLOUCESTER	1314	1985	65	3364	
65		STATE UOCAVA	10	6	2	18	
			2295	2795	135	5225	
							
			Fay, Jessica L. 	McClellan, Michael Dennis 	BLANK	TOTAL VOTES CAST	
			Raymond	Raymond			
			Democrat	Republican			
66	AND	POLAND	645	734	62	1441	
66	CUM	CASCO	838	801	81	1720	
66	CUM	RAYMOND	1145	995	61	2201	
66		STATE UOCAVA	10	7	1	18	
			2638	2537	205	5380	
							
			Austin, Susan M. 	Rumson, Rachel Lyn 	BLANK	TOTAL VOTES CAST	
			Gray	Gray			
			Republican	Democrat			
67	CUM	CASCO	252	157	26	435	
67	CUM	FRYE ISLAND	50	25	3	78	
67	CUM	GRAY	2655	1421	143	4219	
67	CUM	RAYMOND	404	250	43	697	
67		STATE UOCAVA	8	10	1	19	
			3369	1863	216	5448	
							
			Cebra, Richard M. 	Powers, Christine B. 	BLANK	TOTAL VOTES CAST	
			Naples	Naples			
			Republican	Democrat			
68	CUM	BALDWIN	514	353	69	936	
68	CUM	NAPLES	1106	1139	88	2333	
68	CUM	SEBAGO	547	524	61	1132	
68	YOR	CORNISH	394	385	57	836	
68	YOR	PARSONSFIELD	159	150	24	333	
68		STATE UOCAVA	2	14	0	16	
			2722	2565	299	5586	
							
			Ginzler, Phyllis A. 	Riseman, Walter N. 	Peters, William G.	BLANK	TOTAL VOTES CAST
			Bridgton	Harrison	Bridgton		
			Republican	Independent	Unenrolled		
69	CUM	BRIDGTON	1649	1233	3	142	3027
69	CUM	HARRISON	551	912	0	34	1497
69	OXF	DENMARK	398	306	0	48	752
69		STATE UOCAVA	5	16	0	1	22
			2603	2467	3	225	5298
							
			Rankin, Helen E.E. 	Wadsworth, Nathan John 	BLANK	TOTAL VOTES CAST	
			Hiram	Hiram			
			Democrat	Republican			
70	OXF	BROWNFIELD	347	490	41	878	
70	OXF	FRYEBURG	823	931	79	1833	
70	OXF	HIRAM	342	486	29	857	
70	OXF	LOVELL	298	326	34	658	
70	OXF	PORTER	310	488	24	822	
70		STATE UOCAVA	25	8	3	36	
			2145	2729	210	5084	
							
			Twitchell, Michael W. 	Winsor, Tom J. 	BLANK	TOTAL VOTES CAST	
			Norway	Norway			
			Democrat	Republican			
71	OXF	NORWAY	1125	1455	113	2693	
71	OXF	SWEDEN	122	120	14	256	
71	OXF	WATERFORD	349	555	43	947	
71	OXF	WEST PARIS	385	579	51	1015	
71		STATE UOCAVA	11	5	0	16	
			1992	2714	221	4927	
							
			Bradley, James F. 	Dillingham, Kathleen R.J. 	BLANK	TOTAL VOTES CAST	
			Mechanic Falls	Oxford			
			Democrat	Republican			
72	AND	MECHANIC FALLS	763	741	82	1586	
72	OXF	OTISFIELD	327	702	65	1094	
72	OXF	OXFORD	469	1653	108	2230	
72		STATE UOCAVA	7	3	1	11	
			1566	3099	256	4921	
							
			Coffman, Cheryl S. 	Herrick, Lloyd C. 	BLANK	TOTAL VOTES CAST	
			Buckfield	Paris			
			Democrat	Republican			
73	OXF	BUCKFIELD	518	544	50	1112	
73	OXF	HEBRON	247	457	49	753	
73	OXF	PARIS	712	1936	104	2752	
73		STATE UOCAVA	8	15	0	23	
			1485	2952	203	4640	
							
			Cornelio, Keith R. 	Riley, Christina 	BLANK	TOTAL VOTES CAST	
			Jay	Jay			
			Republican	Democrat			
74	AND	LIVERMORE	349	329	25	703	
74	AND	LIVERMORE FALLS	719	717	50	1486	
74	FRA	JAY	1232	1313	55	2600	
74		STATE UOCAVA	4	2	0	6	
			2304	2361	130	4795	
							
			Buzzell, James A. 	Timberlake, Jeffrey L. 	BLANK	TOTAL VOTES CAST	
			Leeds	Turner			
			Democrat	Republican			
75	AND	LEEDS	582	677	40	1299	
75	AND	LIVERMORE	188	434	14	636	
75	AND	TURNER	895	2427	61	3383	
75		STATE UOCAVA	2	5	1	8	
			1667	3543	116	5326	
							
			Ducharme, Jill E. 	Hilliard, Gary L. 	BLANK	TOTAL VOTES CAST	
			Wayne	Belgrade			
			Democrat	Republican			
76	KEN	BELGRADE	637	1365	47	2049	
76	KEN	FAYETTE	368	388	33	789	
76	KEN	MOUNT VERNON	463	562	39	1064	
76	KEN	ROME	257	345	20	622	
76	KEN	VIENNA	184	186	26	396	
76	KEN	WAYNE	465	332	18	815	
76		STATE UOCAVA	24	17	2	43	
			2398	3195	185	5778	
							
			Perkins, Michael D. 	Tibbetts, Alan B. 	BLANK	TOTAL VOTES CAST	
			Oakland	Sidney			
			Republican	Democrat			
77	KEN	OAKLAND	1629	876	62	2567	
77	KEN	SIDNEY	1500	1101	65	2666	
77		STATE UOCAVA	4	11	2	17	
			3133	1988	129	5250	
							
			Nadeau, Catherine M. 	Twitchell, Benjamin B., III	BLANK	TOTAL VOTES CAST	
			Winslow	Winslow			
			Democrat	Republican			
78	KEN	BENTON	182	158	13	353	
78	KEN	WINSLOW	2206	2088	111	4405	
78		STATE UOCAVA	12	4	1	17	
			2400	2250	125	4775	
							
			Glowa, John M., Sr.	Theriault, Timothy S. 	BLANK	TOTAL VOTES CAST	
			China	China			
			Democrat	Republican			
79	KEN	ALBION	342	780	53	1175	
79	KEN	BENTON	461	688	64	1213	
79	KEN	CHINA	955	1472	89	2516	
79		STATE UOCAVA	8	0	1	9	
			1766	2940	207	4913	
							
			Bradstreet, Richard T. 	Fowle, Lori A. 	BLANK	TOTAL VOTES CAST	
			Vassalboro	Vassalboro			
			Republican	Democrat			
80	KEN	AUGUSTA	397	370	45	812	
80	KEN	VASSALBORO	1212	1207	61	2480	
80	KEN	WINDSOR	758	575	55	1388	
80	LIN	SOMERVILLE	176	144	26	346	
80		STATE UOCAVA	6	12	1	19	
			2549	2308	188	5045	
							
			Hadley, Milton F., III	Hickman, Craig V. 	BLANK	TOTAL VOTES CAST	
			Winthrop	Winthrop			
			Republican	Democrat			
81	KEN	MONMOUTH	60	91	10	161	
81	KEN	READFIELD	576	1048	42	1666	
81	KEN	WINTHROP	1213	2417	78	3708	
81		STATE UOCAVA	4	19	0	23	
			1853	3575	130	5558	
							
			Ackley, Kent 	Greenwood, Randall Adam 	BLANK	TOTAL VOTES CAST	
			Monmouth	Wales			
			Common Sense Independent	Republican			
82	AND	WALES	252	610	29	891	
82	KEN	LITCHFIELD	1075	922	88	2085	
82	KEN	MONMOUTH	1354	844	53	2251	
82		STATE UOCAVA	11	3	1	15	
			2692	2379	171	5242	
							
			Grant, Gay M. 	Williams, Scott Douglas 	BLANK	TOTAL VOTES CAST	
			Gardiner	Gardiner			
			Democrat	Republican			
83	KEN	FARMINGDALE	936	716	71	1723	
83	KEN	GARDINER	1762	1237	121	3120	
83		STATE UOCAVA	17	3	0	20	
			2715	1956	192	4863	
							
			Warren, Charlotte May 	BLANK	TOTAL VOTES CAST		
			Hallowell				
			Democrat				
84	KEN	HALLOWELL	1346	313	1659		
84	KEN	MANCHESTER	1200	479	1679		
84	KEN	WEST GARDINER	1569	640	2209		
84		STATE UOCAVA	22	4	26		
			4137	1436	5573		
							
			Doore, Donna R. 	BLANK	TOTAL VOTES CAST		
			Augusta				
			Democrat				
85	KEN	AUGUSTA	3470	933	4403		
85		STATE UOCAVA	12	3	15		
			3482	936	4418		
							
			Pouliot, Matthew Gary 	BLANK	TOTAL VOTES CAST		
			Augusta				
			Republican				
86	KEN	AUGUSTA	3245	754	3999		
86		STATE UOCAVA	15	8	23		
			3260	762	4022		
							
			Hanley, Jeffery P. 	Ross, Wendy S. 	BLANK	TOTAL VOTES CAST	
			Pittston	Wiscasset			
			Republican	Democrat			
87	KEN	PITTSTON	1198	483	42	1723	
87	KEN	RANDOLPH	602	374	42	1018	
87	LIN	ALNA	191	275	16	482	
87	LIN	WISCASSET	1050	1125	76	2251	
87		STATE UOCAVA	5	18	2	25	
			3046	2275	178	5499	
							
			Sanderson, Deborah J. 	Torbert, James R. 	BLANK	TOTAL VOTES CAST	
			Chelsea	Whitefield			
			Republican	Democrat			
88	KEN	CHELSEA	1007	458	62	1527	
88	LIN	JEFFERSON	934	613	66	1613	
88	LIN	NOBLEBORO	339	238	25	602	
88	LIN	WHITEFIELD	634	743	54	1431	
88		STATE UOCAVA	8	17	0	25	
			2922	2069	207	5198	
							
			Hawke, Stephanie 	Wolf, Wendy J. 	BLANK	TOTAL VOTES CAST	
			Boothbay Harbor	Boothbay Harbor			
			Republican	Independent			
89	LIN	BOOTHBAY	1207	881	25	2113	
89	LIN	BOOTHBAY HARBOR	807	558	28	1393	
89	LIN	EDGECOMB	385	414	24	823	
89	LIN	SOUTH BRISTOL	180	260	34	474	
89	LIN	SOUTHPORT	235	191	5	431	
89	LIN	WESTPORT ISLAND	234	260	22	516	
89		STATE UOCAVA	4	53	5	62	
			3052	2617	143	5812	
							
			Devin, Michael G. 	Mayer, Roberta C. 	BLANK	TOTAL VOTES CAST	
			Newcastle	Damariscotta			
			Democrat	Republican			
90	LIN	BREMEN	287	208	18	513	
90	LIN	BRISTOL	1016	816	62	1894	
90	LIN	DAMARISCOTTA	811	511	50	1372	
90	LIN	MONHEGAN ISLAND PLT	49	9	2	60	
90	LIN	NEWCASTLE	789	441	40	1270	
90	LIN	NOBLEBORO	306	247	21	574	
90	LIN	SOUTH BRISTOL	77	72	7	156	
90		STATE UOCAVA	38	7	2	47	
			3373	2311	202	5886	
							
			Simmons, Abden S. 	Trask-Eaton, Emily 	BLANK	TOTAL VOTES CAST	
			Waldoboro	Waldoboro			
			Republican	Democrat			
91	KNO	FRIENDSHIP	457	281	20	758	
91	KNO	UNION	243	277	15	535	
